ID,Semente,Germinação (%),Vigor (%),Pureza (%),Viabilidade (%),Umidade (%),Qualidade Geral (%)
1,Soja,97,79,82,92,10,81.20000000000002
2,Soja,82,97,82,76,15,77.7
3,Soja,77,100,86,70,13,76.3
4,Soja,80,63,80,99,11,71.6
5,Soja,71,62,89,61,13,66.0
6,Soja,64,75,75,95,11,66.19999999999999
7,Soja,86,99,81,69,15,78.80000000000001
8,Soja,63,99,70,88,12,69.0
9,Soja,99,62,100,85,11,81.6
10,Soja,61,86,73,88,10,66.0
11,Soja,66,90,94,75,11,71.8
12,Soja,70,73,87,75,11,68.6
13,Soja,100,77,93,88,12,84.0
14,Soja,65,83,77,89,15,68.4
15,Soja,87,68,70,75,11,71.0
16,Soja,90,83,87,73,13,78.6
17,Soja,71,89,76,86,14,71.4
18,Soja,65,82,83,94,15,69.9
19,Soja,93,83,95,90,11,82.9
20,Soja,95,74,88,82,13,79.9
21,Soja,64,86,93,87,13,71.39999999999999
22,Soja,65,71,88,62,14,65.4
23,Soja,88,95,84,98,13,82.1
24,Soja,66,73,78,71,13,65.0
25,Soja,95,83,74,77,14,78.50000000000001
26,Soja,96,74,70,97,10,77.9
27,Soja,76,68,77,83,10,68.7
28,Soja,69,98,85,60,13,71.5
29,Soja,68,72,86,83,10,68.1
30,Soja,84,65,78,62,14,69.80000000000001
31,Soja,92,72,76,82,13,75.9
32,Soja,83,75,90,100,11,77.3
33,Soja,87,81,96,62,15,77.9
34,Soja,71,100,88,75,13,74.8
35,Soja,77,90,84,73,11,73.99999999999999
36,Soja,100,81,75,82,10,80.4
37,Soja,72,96,84,63,11,72.19999999999999
38,Soja,71,77,72,99,14,69.50000000000001
39,Soja,96,89,95,65,14,83.10000000000001
40,Soja,66,80,81,86,11,68.3
41,Soja,81,68,77,77,11,70.19999999999999
42,Soja,75,62,74,77,13,66.2
43,Soja,97,82,73,71,11,78.0
44,Soja,88,86,81,84,14,78.40000000000002
45,Soja,94,98,78,71,13,81.2
46,Soja,88,75,76,90,10,75.4
47,Soja,86,61,87,77,13,73.0
48,Soja,100,85,85,97,11,84.8
49,Soja,79,85,70,65,11,70.19999999999999
50,Soja,86,81,94,91,15,79.99999999999999
51,Soja,63,94,87,98,10,72.2
52,Soja,71,64,98,86,10,70.4
53,Soja,82,92,88,70,12,77.00000000000001
54,Soja,100,65,93,91,13,81.99999999999999
55,Soja,76,90,74,87,12,73.10000000000001
56,Soja,84,84,75,68,10,73.2
57,Soja,79,72,92,77,15,73.60000000000001
58,Soja,69,98,87,61,14,72.10000000000001
59,Soja,62,66,94,73,12,65.3
60,Soja,64,91,71,80,10,67.0
61,Soja,91,69,76,93,10,75.7
62,Soja,64,76,82,68,11,65.1
63,Soja,92,61,90,70,15,75.5
64,Soja,71,91,75,95,14,72.5
65,Soja,88,96,76,97,15,80.80000000000001
66,Soja,88,80,93,83,10,79.10000000000001
67,Soja,87,75,87,80,11,76.3
68,Soja,90,91,72,87,15,78.80000000000001
69,Soja,69,77,82,74,14,68.20000000000002
70,Soja,86,88,90,91,15,80.6
71,Soja,84,64,92,65,13,72.60000000000001
72,Soja,89,84,75,61,11,74.6
73,Soja,89,63,91,89,13,76.60000000000001
74,Soja,78,81,97,98,15,78.10000000000001
75,Soja,78,68,71,85,10,68.5
76,Soja,93,76,85,94,12,80.00000000000001
77,Soja,80,68,83,60,12,69.4
78,Soja,81,89,99,69,10,77.9
79,Soja,74,61,82,85,10,67.7
80,Soja,64,78,87,85,12,68.30000000000001
81,Soja,66,67,74,73,13,63.2
82,Soja,93,92,95,64,10,82.00000000000001
83,Soja,66,88,98,60,12,70.8
84,Soja,64,98,92,68,13,71.7
85,Soja,93,66,82,91,11,77.0
86,Soja,62,86,73,77,10,65.3
87,Soja,69,96,100,91,11,77.0
88,Soja,74,66,77,93,14,68.9
89,Soja,97,60,92,72,15,77.9
90,Soja,77,60,91,62,13,68.5
91,Soja,83,61,99,61,12,72.5
92,Soja,78,83,95,99,12,77.90000000000002
93,Soja,83,90,75,67,14,74.30000000000001
94,Soja,63,69,96,77,10,66.9
95,Soja,73,90,81,80,10,72.4
96,Soja,94,68,92,88,14,79.80000000000001
97,Soja,92,63,94,78,10,77.0
98,Soja,100,95,78,91,11,84.79999999999998
99,Soja,88,97,78,89,15,80.60000000000002
100,Soja,80,74,87,78,15,73.5
101,Soja,87,86,86,90,12,79.4
102,Soja,86,62,80,74,13,71.5
103,Soja,64,71,96,79,14,68.30000000000001
104,Soja,80,94,89,97,13,79.6
105,Soja,100,89,73,97,12,83.30000000000001
106,Soja,90,76,74,91,13,76.39999999999999
107,Soja,67,79,78,75,14,67.10000000000001
108,Soja,90,72,84,95,13,78.0
109,Soja,63,92,100,98,11,74.5
110,Soja,70,97,84,79,12,73.30000000000001
111,Soja,69,80,85,65,14,68.5
112,Soja,69,83,84,95,13,71.8
113,Soja,63,79,97,68,13,68.5
114,Soja,74,61,98,93,15,72.2
115,Soja,76,88,71,70,11,70.3
116,Soja,93,82,89,92,15,82.10000000000001
117,Soja,97,76,83,73,12,79.10000000000001
118,Soja,61,82,97,81,13,69.6
119,Soja,90,64,86,70,15,74.5
120,Soja,98,87,76,100,12,83.00000000000001
121,Soja,100,78,89,76,11,82.1
122,Soja,65,71,79,88,12,66.0
123,Soja,72,68,83,69,10,66.9
124,Soja,97,79,97,92,14,84.60000000000002
125,Soja,66,65,98,63,15,66.80000000000001
126,Soja,64,96,80,90,15,71.30000000000001
127,Soja,66,94,88,79,15,72.2
128,Soja,98,84,97,62,11,82.7
129,Soja,73,91,84,84,14,74.00000000000001
130,Soja,81,76,80,67,14,71.7
131,Soja,93,91,97,72,15,83.50000000000001
132,Soja,68,79,93,67,14,69.7
133,Soja,94,73,98,84,10,81.20000000000002
134,Soja,83,66,72,76,15,69.9
135,Soja,80,94,94,84,11,79.1
136,Soja,74,92,84,75,14,73.7
137,Soja,75,74,72,74,12,67.8
138,Soja,98,78,70,77,14,77.90000000000002
139,Soja,87,93,84,71,13,78.6
140,Soja,82,83,81,81,13,75.0
141,Soja,86,90,89,65,13,78.0
142,Soja,67,86,76,93,14,69.9
143,Soja,81,87,97,91,14,79.7
144,Soja,87,76,70,75,13,72.8
145,Soja,95,99,74,68,12,80.6
146,Soja,81,100,80,70,13,76.7
147,Soja,67,76,84,64,13,66.5
148,Soja,97,87,79,83,11,81.39999999999999
149,Soja,93,83,95,71,13,81.2
150,Soja,63,91,88,63,15,68.80000000000001
151,Soja,97,79,83,85,14,81.10000000000002
152,Soja,61,92,74,65,14,65.50000000000001
153,Soja,70,78,82,62,12,67.4
154,Soja,77,86,83,64,13,72.3
155,Soja,82,75,80,81,13,73.2
156,Soja,75,67,80,78,10,68.2
157,Soja,100,84,85,98,12,84.8
158,Soja,67,62,72,84,11,63.1
159,Soja,99,83,88,73,13,82.4
160,Soja,83,94,79,80,13,77.1
161,Soja,63,89,97,84,14,72.20000000000002
162,Soja,69,86,92,75,14,72.10000000000001
163,Soja,95,75,94,66,11,79.49999999999999
164,Soja,79,62,79,61,11,66.99999999999999
165,Soja,91,75,73,65,15,74.0
166,Soja,99,65,75,92,11,77.89999999999999
167,Soja,62,99,85,91,15,72.2
168,Soja,66,93,82,77,13,70.4
169,Soja,92,60,94,70,12,75.80000000000001
170,Soja,72,72,82,86,14,69.60000000000001
171,Soja,99,79,96,89,12,84.70000000000002
172,Soja,75,69,83,86,10,70.0
173,Soja,94,64,83,76,14,76.0
174,Soja,70,86,87,87,10,72.30000000000001
175,Soja,85,78,98,67,10,76.9
176,Soja,79,71,81,85,15,72.0
177,Soja,78,77,71,78,13,69.9
178,Soja,67,74,79,78,14,66.60000000000001
179,Soja,60,94,98,87,13,72.39999999999999
180,Soja,63,87,72,92,13,67.5
181,Soja,86,75,95,62,11,75.7
182,Soja,94,77,84,86,13,79.69999999999999
183,Soja,80,81,73,74,15,71.7
184,Soja,94,93,83,63,11,80.2
185,Soja,81,88,88,75,14,76.5
186,Soja,87,66,75,76,14,72.00000000000001
187,Soja,73,63,94,87,15,70.80000000000001
188,Soja,97,73,73,97,10,78.7
189,Soja,79,86,95,66,10,75.39999999999999
190,Soja,70,100,87,61,10,72.5
191,Soja,81,80,72,88,11,72.69999999999999
192,Soja,92,66,76,60,13,72.5
193,Soja,96,69,89,63,14,77.7
194,Soja,78,77,73,65,10,68.7
195,Soja,75,90,90,95,15,77.0
196,Soja,94,95,98,76,15,85.3
197,Soja,96,97,91,99,12,87.10000000000002
198,Soja,84,64,79,73,10,70.5
199,Soja,73,84,83,99,14,73.9
200,Soja,100,72,90,98,11,83.3
201,Soja,74,77,79,96,10,71.4
202,Soja,88,68,77,73,13,72.8
203,Soja,72,93,96,67,15,74.80000000000001
204,Soja,77,77,73,73,11,69.2
205,Soja,71,80,79,65,10,67.7
206,Soja,90,72,92,64,12,76.4
207,Soja,74,79,85,62,10,69.60000000000001
208,Soja,86,75,83,92,12,76.4
209,Soja,96,77,75,93,13,79.4
210,Soja,84,63,78,93,11,72.2
211,Soja,94,93,91,75,14,83.30000000000001
212,Soja,72,80,96,60,10,71.0
213,Soja,85,84,76,85,15,76.0
214,Soja,96,68,86,75,15,78.2
215,Soja,73,87,86,67,11,71.60000000000001
216,Soja,98,91,88,83,14,84.7
217,Soja,68,75,91,73,13,69.0
218,Soja,73,90,90,93,10,75.5
219,Soja,95,95,87,90,10,84.4
220,Soja,62,84,98,89,12,71.30000000000001
221,Soja,66,86,82,76,13,68.89999999999999
222,Soja,62,69,87,83,11,65.39999999999999
223,Soja,79,70,77,85,10,70.5
224,Soja,90,61,80,91,12,74.5
225,Soja,77,96,79,88,12,75.8
226,Soja,63,96,92,73,14,71.50000000000001
227,Soja,60,98,78,74,15,68.10000000000001
228,Soja,74,81,86,73,12,71.5
229,Soja,73,98,95,76,13,76.7
230,Soja,86,80,84,91,15,77.8
231,Soja,74,98,84,73,12,74.5
232,Soja,91,72,76,69,11,74.0
233,Soja,93,86,70,70,13,76.7
234,Soja,64,63,96,62,11,64.7
235,Soja,65,79,100,96,10,72.4
236,Soja,62,98,96,68,11,71.5
